"date","musica","popul","cifra","tom","autor"
"1","1985-05-06"," geraldo azevedo a voz do morto ",4,"E7+","E","geraldo azevedo"
"2","1985-05-06"," geraldo azevedo a voz do morto ",4,"A7+","E","geraldo azevedo"
"3","1985-05-06"," geraldo azevedo a voz do morto ",4,"B7","E","geraldo azevedo"
"4","1985-05-06"," geraldo azevedo a voz do morto ",4,"G#m7","E","geraldo azevedo"
"5","1985-05-06"," geraldo azevedo a voz do morto ",4,"C#m7(9+)","E","geraldo azevedo"
"6","1985-05-06"," geraldo azevedo a voz do morto ",4,"Fm7","E","geraldo azevedo"
"7","1985-05-06"," geraldo azevedo a voz do morto ",4,"B7","E","geraldo azevedo"
"8","1985-05-06"," geraldo azevedo a voz do morto ",4,"E7+","E","geraldo azevedo"
"9","1985-05-06"," geraldo azevedo a voz do morto ",4,"A7+","E","geraldo azevedo"
"10","1985-05-06"," geraldo azevedo a voz do morto ",4,"B7","E","geraldo azevedo"
"11","1994-12-01"," geraldo azevedo adoro voce ",13,"C","C","geraldo azevedo"
"12","1994-12-01"," geraldo azevedo adoro voce ",13,"E7/B","C","geraldo azevedo"
"13","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"14","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"15","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"16","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"17","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"18","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"19","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"20","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"21","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"22","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"23","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"24","1994-12-01"," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"25","1994-12-01"," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"26","1994-12-01"," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"27","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"28","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"29","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"30","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"31","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"32","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"33","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"34","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"35","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"36","1994-12-01"," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"37","1994-12-01"," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"38","1994-12-01"," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"39","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"40","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"41","1994-12-01"," geraldo azevedo adoro voce ",13,"D7/4","C","geraldo azevedo"
"42","1994-12-01"," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"43","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"44","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"45","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"46","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"47","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"48","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"49","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"50","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"51","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"52","1994-12-01"," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"53","1994-12-01"," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"54","1994-12-01"," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"55","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"56","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"57","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"58","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"59","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"60","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"61","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"62","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"63","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"64","1994-12-01"," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"65","1994-12-01"," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"66","1994-12-01"," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"67","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"68","1994-12-01"," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"69","1994-12-01"," geraldo azevedo adoro voce ",13,"D7/4","C","geraldo azevedo"
"70","1994-12-01"," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"71","1994-12-01"," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"72","1997"," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"73","1997"," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"74","1997"," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"75","1997"," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"76","1997"," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"77","1997"," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"78","1997"," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"79","1997"," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"80","1997"," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
